INDUSTRIESCODE_PREFIX,INDUSTRIESCODE,INDUSTRIESNAME,WIND_NAME_ENG
6260,6260000000000000,房地产,Real Estate
6255,6255000000000000,公用事业,Utilities
6250,6250000000000000,电信服务,Communication Services
6215,6215000000000000,材料,Materials
6240,6240000000000000,金融,Financials
6210,6210000000000000,能源,Energy
6230,6230000000000000,日常消费,Consumer Staples
6225,6225000000000000,可选消费,Consumer Discretionary
6245,6245000000000000,信息技术,Information Technology
6220,6220000000000000,工业,Industrials
6235,6235000000000000,医疗保健,Health Care
